,,Calendar Dashboard,,,

"Comp.Name","Act","DueDate","Category","SubCategory","Status"
"Aadhar","act","2025-04-11","Corporate Compliance","Companies Act, 2013 (Corporate Governance)","Complied"
"PD","Act test","2025-04-18","Corporate Compliance","SEBI (Securities and Exchange Board of India) Compliance","Pending"
"Doc1","Act Calendar","2025-04-07","Taxation Compliance","Excise Duty and Customs Duty Compliance","Pending"
"PD","Act Test compliance","2025-04-09","Consumer Protection Compliance","Food Safety and Standards Authority of India (FSSAI) Compliance","Delay Complied"
"Doc6","Act Test compliance","2025-04-16","Consumer Protection Compliance","Food Safety and Standards Authority of India (FSSAI) Compliance","Complied"
"Doc4","Act Calendar","2025-04-12","Consumer Protection Compliance","Food Safety and Standards Authority of India (FSSAI) Compliance","Pending"
"Doc3","Act Test compliance","2025-04-12","Intellectual Property (IP) Compliance","Trademark Act, 1999","Pending"
"Doc5","Act Calendar","2025-04-25","Consumer Protection Compliance","Food Safety and Standards Authority of India (FSSAI) Compliance","Pending"
"doc2","Act Calendar","2025-05-17","Intellectual Property (IP) Compliance","Trademark Act, 1999","Pending"
"Doc7","Act Calendar","2025-04-18","Consumer Protection Compliance","Food Safety and Standards Authority of India (FSSAI) Compliance","Complied"
